window,start_ms,end_ms,channel,n_subjects,mean_difference,median_difference,std_difference,sem_difference,include_in_topomap
W4,320.0,600.0,CP2,9,1.9540385271582343,1.5986898066436797,1.5045042231375345,0.5015014077125115,True
W4,320.0,600.0,CP6,11,2.2986480568405896,1.8809459584342425,3.4252399793057675,1.0327487116619933,True
W4,320.0,600.0,TP8,10,1.9332483105506675,0.34662387576580667,3.8601472609063063,1.2206857448124175,True
W4,320.0,600.0,P7,11,1.8175210452659782,0.2598666100305378,4.901000322195944,1.477707196921352,True
W4,320.0,600.0,P3,11,1.6286600450236508,0.7519051718252457,4.048815901535973,1.2207639264199415,True
W4,320.0,600.0,Pz,11,2.306425805230844,1.5294251775205652,2.644913199855362,0.7974713351798655,True
W4,320.0,600.0,P4,11,2.424231453484912,1.6845261554293507,3.331259879692763,1.004412645464124,True
W4,320.0,600.0,P8,11,1.2090311468436108,-0.2616131726120212,4.100606286498355,1.236379315026149,True
W4,320.0,600.0,O1,11,3.0951116653120816,1.565945773792162,5.103572753479465,1.5387850830520329,True
W4,320.0,600.0,O2,11,3.590598621913466,1.9520882582222043,5.129687712658239,1.5466590395076183,True
W5,600.0,800.0,Fp1,11,0.027093420201083438,0.19483377953934888,5.7089869385404945,1.721324328016235,True
W5,600.0,800.0,Fpz,11,0.6402966564500893,1.2835612802702974,5.233155389887654,1.5778557179893973,True
W5,600.0,800.0,Fp2,11,0.6048815133067559,0.4740402245105111,5.689533288522337,1.715458831842315,True
W5,600.0,800.0,F7,11,-0.39972588743477,-0.48852635177658277,1.675575045455258,0.5052048848961622,True
W5,600.0,800.0,F3,7,0.5518257764121058,0.8084618203293967,1.7566462906770506,0.6639498895193652,True
W5,600.0,800.0,Fz,11,0.24252464413587338,0.5095471410378496,2.871042024512518,0.8656517411500335,True
W5,600.0,800.0,F4,10,0.4847620245497616,0.7664980681979557,2.4046734330382282,0.7604245077297191,True
W5,600.0,800.0,F8,11,0.7353557089622135,0.9825269725601189,1.7643999105240427,0.5319865893949899,True
W5,600.0,800.0,FC5,6,0.8711442340455968,0.8026192168843671,1.4427891921615208,0.5890162211996789,True
W5,600.0,800.0,FC1,9,-0.03376517673722063,0.31486067928126893,2.949886873449113,0.9832956244830376,True
W5,600.0,800.0,FC2,9,-0.2025147917264055,0.4316427025155483,2.7205849948896086,0.9068616649632029,True
W5,600.0,800.0,FC6,11,0.8892784410087593,0.7337689544228486,1.873102481890061,0.5647616478466185,True
W5,600.0,800.0,T7,10,0.414430380942621,0.9109797608860564,1.721481831451977,0.5443803537986334,True
W5,600.0,800.0,C3,11,0.5221268670728055,0.4040372509461254,2.0105203669855127,0.6061946991507807,True
W5,600.0,800.0,Cz,9,0.5441279288543905,1.4132725893810107,3.4743377140629113,1.1581125713543037,True
W5,600.0,800.0,C4,11,0.8489325001052552,0.7893717916443423,2.3022127155232344,0.6941432513614347,True
W5,600.0,800.0,T8,11,0.42410448367347625,0.38938857128272286,1.8103745273012515,0.5458484579159336,True
W5,600.0,800.0,TP7,10,0.24497442519787116,0.826218218190958,1.8343868081860812,0.5800840423634422,True
W5,600.0,800.0,CP5,10,0.2737514090075438,0.6367006378112819,1.4828209248025193,0.46890914845332227,True
W5,600.0,800.0,CP1,10,0.5865200921205089,0.2786613490353187,2.090488442646061,0.6610704901019824,True
W5,600.0,800.0,CP2,9,-0.23852125867156138,-0.28108920632376166,2.060446310065089,0.686815436688363,True
W5,600.0,800.0,CP6,11,0.8622384132071573,0.9568459354980142,2.657688128251789,0.8013231210175568,True
W5,600.0,800.0,TP8,10,-0.11714891691303878,-0.2693441678909928,2.5552013521956725,0.808025615328041,True
W5,600.0,800.0,P7,11,0.4842514077816429,-0.07272484352321806,2.5231805474615667,0.7607675594775947,True
W5,600.0,800.0,P3,11,0.2559120363093445,0.9512336688723715,2.8174391250081,0.8494898588471901,True
W5,600.0,800.0,Pz,11,0.8170677629850913,0.5066142398189876,2.322511523403717,0.7002635722188048,True
W5,600.0,800.0,P4,11,1.296892535850504,1.3883294474982706,2.0119019944575762,0.6066112755075882,True
W5,600.0,800.0,P8,11,-0.15488459320004003,-0.1656576440467245,2.734544518914634,0.8244961947057052,True
W5,600.0,800.0,O1,11,1.3031457520089575,1.109946079526512,1.9746049040706972,0.5953657796362019,True
W5,600.0,800.0,O2,11,1.910862652076627,1.5334426233734906,2.703806038988875,0.8152281942930129,True
